system   D            wsystem.c:589  maybe_parent_dir                 [   0.00178] Also searching C:\Users\Michael\Documents\Visual Studio 2012\Projects\Pong\
system   D            wsystem.c:639  _al_win_safe_load_library        [   0.00266] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:550  load_library_at_path             [   0.00272] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:553  load_library_at_path             [   0.00848] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:705  _al_d3d_init_display             [   0.03245] Render-to-texture: 1
system   I             system.c:274  al_install_system                [   0.03248] Allegro version: 5.1.4 (WIP)
d3d      I         d3d_disp.cpp:1715 d3d_create_display_locked        [   0.03368] faux_fullscreen=0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04396] found 288 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.04399] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04400] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04401] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04402] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04403] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04404] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.04405] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04406] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.04407] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04408] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.04408] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04410] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.04410] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04411] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.04412] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04413] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.04414] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04415] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.04416] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04417] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04417] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04419] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04419] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04420] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.04421] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04425] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.04427] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04428] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.04428] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
